Date,Establishment,Value,Comparator,Attainment Distribution
2016,est:5153131,885,comparator:virtual-comparator,distribution:middle-60pc
2016,est:5153131,1870,comparator:virtual-comparator,distribution:highest-20pc
2016,est:5202736,225,comparator:real-establishment,distribution:lowest-20pc
2016,est:5202736,866,comparator:real-establishment,distribution:middle-60pc
2016,est:5202736,1826,comparator:real-establishment,distribution:highest-20pc
2016,est:5202736,182,comparator:virtual-comparator,distribution:lowest-20pc
2016,est:5202736,862,comparator:virtual-comparator,distribution:middle-60pc
2016,est:5202736,1846,comparator:virtual-comparator,distribution:highest-20pc
2016,est:5202930,184,comparator:real-establishment,distribution:lowest-20pc
2016,est:5202930,706,comparator:real-establishment,distribution:middle-60pc
2016,est:5202930,1623,comparator:real-establishment,distribution:highest-20pc
2016,est:5202930,149,comparator:virtual-comparator,distribution:lowest-20pc
2016,est:5202930,672,comparator:virtual-comparator,distribution:middle-60pc
2016,est:5202930,1680,comparator:virtual-comparator,distribution:highest-20pc
2016,est:5203031,168,comparator:real-establishment,distribution:lowest-20pc
2016,est:5203031,925,comparator:real-establishment,distribution:middle-60pc
2016,est:5203031,1799,comparator:real-establishment,distribution:highest-20pc
2016,est:5203031,207,comparator:virtual-comparator,distribution:lowest-20pc
2016,est:5203031,877,comparator:virtual-comparator,distribution:middle-60pc
2016,est:5203031,1826,comparator:virtual-comparator,distribution:highest-20pc
2016,est:5203139,148,comparator:real-establishment,distribution:lowest-20pc
2016,est:5203139,670,comparator:real-establishment,distribution:middle-60pc
2016,est:5203139,1650,comparator:real-establishment,distribution:highest-20pc
2016,est:5203139,192,comparator:virtual-comparator,distribution:lowest-20pc
2016,est:5203139,819,comparator:virtual-comparator,distribution:middle-60pc
2016,est:5203139,1805,comparator:virtual-comparator,distribution:highest-20pc
2016,est:5208734,158,comparator:real-establishment,distribution:lowest-20pc
2016,est:5208734,710,comparator:real-establishment,distribution:middle-60pc
2016,est:5208734,1543,comparator:real-establishment,distribution:highest-20pc
2016,est:5208734,135,comparator:virtual-comparator,distribution:lowest-20pc
2016,est:5208734,671,comparator:virtual-comparator,distribution:middle-60pc
2016,est:5208734,1659,comparator:virtual-comparator,distribution:highest-20pc
2016,est:5208831,141,comparator:real-establishment,distribution:lowest-20pc
2016,est:5208831,561,comparator:real-establishment,distribution:middle-60pc
2016,est:5208831,1355,comparator:real-establishment,distribution:highest-20pc
2016,est:5208831,123,comparator:virtual-comparator,distribution:lowest-20pc
2016,est:5208831,578,comparator:virtual-comparator,distribution:middle-60pc
2016,est:5208831,1649,comparator:virtual-comparator,distribution:highest-20pc
2016,est:5208939,157,comparator:real-establishment,distribution:lowest-20pc
2016,est:5208939,712,comparator:real-establishment,distribution:middle-60pc
2016,est:5208939,1657,comparator:real-establishment,distribution:highest-20pc
2016,est:5208939,142,comparator:virtual-comparator,distribution:lowest-20pc
2016,est:5208939,679,comparator:virtual-comparator,distribution:middle-60pc
2016,est:5208939,1756,comparator:virtual-comparator,distribution:highest-20pc
2016,est:5210038,108,comparator:real-establishment,distribution:lowest-20pc
2016,est:5210038,663,comparator:real-establishment,distribution:middle-60pc
2016,est:5210038,1563,comparator:real-establishment,distribution:highest-20pc
2016,est:5210038,143,comparator:virtual-comparator,distribution:lowest-20pc
2016,est:5210038,720,comparator:virtual-comparator,distribution:middle-60pc
2016,est:5210038,1762,comparator:virtual-comparator,distribution:highest-20pc
2016,est:5213231,161,comparator:real-establishment,distribution:lowest-20pc
2016,est:5213231,570,comparator:real-establishment,distribution:middle-60pc
2016,est:5213231,1357,comparator:real-establishment,distribution:highest-20pc
2016,est:5213231,159,comparator:virtual-comparator,distribution:lowest-20pc
2016,est:5213231,609,comparator:virtual-comparator,distribution:middle-60pc
2016,est:5213231,1532,comparator:virtual-comparator,distribution:highest-20pc
2016,est:5219736,145,comparator:real-establishment,distribution:lowest-20pc
2016,est:5219736,608,comparator:real-establishment,distribution:middle-60pc
2016,est:5219736,1604,comparator:real-establishment,distribution:highest-20pc
2016,est:5219736,99,comparator:virtual-comparator,distribution:lowest-20pc
2016,est:5219736,538,comparator:virtual-comparator,distribution:middle-60pc
2016,est:5219736,1613,comparator:virtual-comparator,distribution:highest-20pc
2016,est:5220734,170,comparator:real-establishment,distribution:lowest-20pc
2016,est:5220734,537,comparator:real-establishment,distribution:middle-60pc
2016,est:5220734,1493,comparator:real-establishment,distribution:highest-20pc
2016,est:5220734,103,comparator:virtual-comparator,distribution:lowest-20pc
